Air Force Blue (Raf),air_force_blue_raf,#5d8aa8,93,138,168
Air Force Blue (Usaf),air_force_blue_usaf,#00308f,0,48,143
Air Superiority Blue,air_superiority_blue,#72a0c1,114,160,193
Alabama Crimson,alabama_crimson,#a32638,163,38,56
Alice Blue,alice_blue,#f0f8ff,240,248,255
Alizarin Crimson,alizarin_crimson,#e32636,227,38,54
Alloy Orange,alloy_orange,#c46210,196,98,16
Almond,almond,#efdecd,239,222,205
Amaranth,amaranth,#e52b50,229,43,80
Amber,amber,#ffbf00,255,191,0
Amber (Sae/Ece),amber_sae_ece,#ff7e00,255,126,0
American Rose,american_rose,#ff033e,255,3,62
Amethyst,amethyst,#96c,153,102,204
Android Green,android_green,#a4c639,164,198,57
Anti-Flash White,anti_flash_white,#f2f3f4,242,243,244
Antique Brass,antique_brass,#cd9575,205,149,117
Antique Fuchsia,antique_fuchsia,#915c83,145,92,131
Antique Ruby,antique_ruby,#841b2d,132,27,45
Antique White,antique_white,#faebd7,250,235,215
Ao (English),ao_english,#008000,0,128,0
Apple Green,apple_green,#8db600,141,182,0
Apricot,apricot,#fbceb1,251,206,177
Aqua,aqua,#0ff,0,255,255
Aquamarine,aquamarine,#7fffd4,127,255,212
Army Green,army_green,#4b5320,75,83,32
Arsenic,arsenic,#3b444b,59,68,75
Arylide Yellow,arylide_yellow,#e9d66b,233,214,107
Ash Grey,ash_grey,#b2beb5,178,190,181
Asparagus,asparagus,#87a96b,135,169,107
Atomic Tangerine,atomic_tangerine,#f96,255,153,102
Auburn,auburn,#a52a2a,165,42,42
Aureolin,aureolin,#fdee00,253,238,0
Aurometalsaurus,aurometalsaurus,#6e7f80,110,127,128
Avocado,avocado,#568203,86,130,3
Azure,azure,#007fff,0,127,255
Azure Mist/Web,azure_mist_web,#f0ffff,240,255,255
Baby Blue,baby_blue,#89cff0,137,207,240
Baby Blue Eyes,baby_blue_eyes,#a1caf1,161,202,241
Baby Pink,baby_pink,#f4c2c2,244,194,194
Ball Blue,ball_blue,#21abcd,33,171,205
Banana Mania,banana_mania,#fae7b5,250,231,181
Banana Yellow,banana_yellow,#ffe135,255,225,53
Barn Red,barn_red,#7c0a02,124,10,2
Battleship Grey,battleship_grey,#848482,132,132,130
Bazaar,bazaar,#98777b,152,119,123
Beau Blue,beau_blue,#bcd4e6,188,212,230
Beaver,beaver,#9f8170,159,129,112
Beige,beige,#f5f5dc,245,245,220
Big Dip O’Ruby,big_dip_o_ruby,#9c2542,156,37,66
Bisque,bisque,#ffe4c4,255,228,196
Bistre,bistre,#3d2b1f,61,43,31
Bittersweet,bittersweet,#fe6f5e,254,111,94
Bittersweet Shimmer,bittersweet_shimmer,#bf4f51,191,79,81
Black,black,#000,0,0,0
Black Bean,black_bean,#3d0c02,61,12,2
Black Leather Jacket,black_leather_jacket,#253529,37,53,41
Black Olive,black_olive,#3b3c36,59,60,54
Blanched Almond,blanched_almond,#ffebcd,255,235,205
Blast-Off Bronze,blast_off_bronze,#a57164,165,113,100
Bleu De France,bleu_de_france,#318ce7,49,140,231
Blizzard Blue,blizzard_blue,#ace5ee,172,229,238
Blond,blond,#faf0be,250,240,190
Blue,blue,#00f,0,0,255
Blue Bell,blue_bell,#a2a2d0,162,162,208
Blue (Crayola),blue_crayola,#1f75fe,31,117,254
Blue Gray,blue_gray,#69c,102,153,204
Blue-Green,blue_green,#0d98ba,13,152,186
Blue (Munsell),blue_munsell,#0093af,0,147,175
Blue (Ncs),blue_ncs,#0087bd,0,135,189
Blue (Pigment),blue_pigment,#339,51,51,153
Blue (Ryb),blue_ryb,#0247fe,2,71,254
Blue Sapphire,blue_sapphire,#126180,18,97,128
Blue-Violet,blue_violet,#8a2be2,138,43,226
Blush,blush,#de5d83,222,93,131
Bole,bole,#79443b,121,68,59
Bondi Blue,bondi_blue,#0095b6,0,149,182
Bone,bone,#e3dac9,227,218,201
Boston University Red,boston_university_red,#c00,204,0,0
Bottle Green,bottle_green,#006a4e,0,106,78
Boysenberry,boysenberry,#873260,135,50,96
Brandeis Blue,brandeis_blue,#0070ff,0,112,255
Brass,brass,#b5a642,181,166,66
Brick Red,brick_red,#cb4154,203,65,84
Bright Cerulean,bright_cerulean,#1dacd6,29,172,214
Bright Green,bright_green,#6f0,102,255,0
Bright Lavender,bright_lavender,#bf94e4,191,148,228
Bright Maroon,bright_maroon,#c32148,195,33,72
Bright Pink,bright_pink,#ff007f,255,0,127
Bright Turquoise,bright_turquoise,#08e8de,8,232,222
Bright Ube,bright_ube,#d19fe8,209,159,232
Brilliant Lavender,brilliant_lavender,#f4bbff,244,187,255
Brilliant Rose,brilliant_rose,#ff55a3,255,85,163
Brink Pink,brink_pink,#fb607f,251,96,127
